VideoID,FStart,FEnd,Caption,Video_Duration,COS
5CS4nLI2ZX8_50_59,0,2, A man jumps to the back seat of a car while the car is moved by two elephants,9,2
5CS4nLI2ZX8_50_59,2,9,and the man starts singing while a lady is sitting in front seat of car,9,2
5CU2JhYM8tY_14_45,0,31,A small girl is dancing in a room while copying steps from a video.,31,1
5dv8MSWlxoQ_10_40,0,30,A woman is doing a tutorial to make a hairstyle.,30,1
5dZ8PXABC30_14_20,0,5,A lady is dragging a patient out of ambulance on a stretcher.,6,2
5dZ8PXABC30_14_20,5,6,while two men drag another man out of ambulance on a stretcher.,6,2
5E66Gk3V1Bc_23_30,0,7,A baboon is climbing the trees in a jungle.,7,1
5EXVeP6R3yc_105_108,0,1,A man is coming out from a mud pond.,3,3
5EXVeP6R3yc_105_108,1,2,and then an angry woman and a man appears.,3,3
5EXVeP6R3yc_105_108,2,3,and then a lady lying on floor with her mouth full of blood.,3,3
5fDBl1wT2Lk_34_39,0,4,A green ball rolled over a potato.,5,2
5fDBl1wT2Lk_34_39,4,5,and a man is talking to other people appears.,5,2
5fq9iIxxA1s_12_27,0,15,A boy is screaming over other boy to kick the ball in front of him while the other boy is looking sideways.,15,1
05gNigkqfNU_25_34,0,9,A person is cutting potato slices into small pieces with a knife.,9,1
05gNigkqfNU_78_84,0,6,A man is cutting boiled eggs into quarter pieces with a knife.,6,1
05Gtb7_9tLU_0_9,0,9,A group of bullocks carrying people is moving in a front of a temple.,9,1
5HAf_INrFy0_3_25,0,22,A brown cat is watching tv and is trying to snatch it while standing.,22,1
5JLi7L1Kwp8_23_30,0,3,A white cat is sleeping on a floor.,4,2
5JLi7L1Kwp8_23_30,3,4,and the cat wakes up and stands on the floor.,4,2
5JSbxHECb-I_97_110,0,13, A person is making a dough batter by mixing ingredients in a steel bowl with a spatula.,13,1
5K7Ru5s6YIw_8_11,0,3,A baby kangaroo is eating something with fore legs while sitting in a green land,3,1
5L5MoemWC6g_10_13,0,2,A lady and a man are kissing each other.,3,2
5L5MoemWC6g_10_13,2,3,a red lightning mark appears between them ,3,2
5l6acVf12S4_7_13,0,6,A small white dog is running along roadside,6,1
5OuYhq6Zl0g_0_10,0,9,Three girls are dancing in front of camera in a room.,10,2
5OuYhq6Zl0g_0_10,9,10,while one of them does a twirk.,10,2
5OvgDatToBU_0_8,0,8,A small white cat is licking milk from a bowl.,8,1
5P6UU6m3cqk_57_75,0,18,A baby is laughing while sitting on a chair in a room.,18,1
5PpPOGU_0aA_65_75,0,9,A couple is getting married in a temple situated between mountains.,10,2
5PpPOGU_0aA_65_75,9,10,and they stare each other while smiling.,10,2
5QJf-l4lPJw_133_138,0,3,A woman breaks an egg in a bowl.,5,2
5QJf-l4lPJw_133_138,3,5,and adds it to a whisking machine.,5,2
5U3xz9Ovmhk_9_15,0,6,A man is adding water to a white powder in a bowl and mixes it with a spoon.,6,1
5U3xz9Ovmhk_99_105,0,6, A man is cutting green leaves over a chopping board using a knife.,6,1
5U3xz9Ovmhk_214_222,0,8,A man is transferring yellow curry from wok into a bowl using a spoon.,8,1
5U3xz9Ovmhk_258_265,0,7,A man is cleaning the ides of a bowl of curry using a tissue.,7,1
5W02895vT8c_312_322,0,10,A plane is taking off from the pathway towards the sky.,10,1
5W02895vT8c_460_470,0,10,A plane lands down on the path .,10,1
5x_OGEdO6Z8_0_21,0,21,A small girl is styling her hair using a brush in a bathroom.,21,1
5XxshEdcfAM_85_100,0,15,Aman is dancing over the floor and walls of a room.,15,1
5XxshEdcfAM_96_107,0,11,A man is dancing upside down while a crowd of people is cheering.,11,1
5YJaS2Eswg0_22_26,0,3,A girl is skipping over a roap on a road alongside a garden.,3,1
5zkCnHUnoYY_69_74,0,5,A lady in long hair is standing in her inner wear and combing her hair.,5,1
06CbMa0kDr8_3_13,0,10,A small red panda is eating food out of the hands of a man.,10,1
6BrHPMdyVtU_1_10,0,9,A man is playing a brown coloured piano in a room,10,2
6BrHPMdyVtU_1_10,9,10,A man is feeding a small animal with some food in his hand.,10,2
6eokrw6_bjU_1_9,0,8,A lady is firing gun shots while standing in a huge lawn .,8,1
6FmN22YcVVE_11_18,0,7,A lady is playing a musical instrument from mouth while sitting on a chair.,7,1
6GJ1DNOGDAM_223_233,0,10,A lady is ironing her hair using a comb amd a machine.,10,1
6gQu8PWhFoQ_30_35,0,3,A man is riding a bicycle with high speed in a diary ground.,5,2
6gQu8PWhFoQ_30_35,3,5,and he jumps and falls into a river .,5,2
6gQu8PWhFoQ_37_41,0,3,A man on a motorcycle crashes during a race and falls off it.,4,2
6gQu8PWhFoQ_37_41,3,4,A person is seen cycling on a road,4,2
6JnGBs88sL0_4_10,0,5,A helicopter lands on the road.,6,2
6JnGBs88sL0_4_10,5,6,and a man winks .,6,2
6KS8R3RxrV8_0_23,0,7,A brown dog is sitting at thevcash counter of a book shop and looking around.,7,1
6Lzq1HN33lE_5_15,0,10,A man is playing flute.,10,1
6mYnZbIwcNo_10_16,0,6,A man is typing using an external keyboard attached to a laptop.,6,1
6njscWrdnM0_8_18,0,5,A man practicing kicks on a toy torso dummy falls down,10,2
6njscWrdnM0_8_18,5,10,The man is punching the dummy.,10,2
6owu8Mow0_g_275_280,0,5,A person is putting red sauce in the middle of two pizza doughs using a metal container,5,1
